country_name,population,population_below_poverty_line,hdi,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,gni
India,1339180127,21.9,0.623558794,68.322,11.69659,6.298833561,5663.474799
Nigeria,190886311,70,0.527104539,53.057,9.970482,6,5442.901264
Mexico,129163276,46.2,0.761682897,76.972,13.29909,8.554984833,16383.10668
Pakistan,197015955,29.5,0.550354165,66.365,8.10691,5.08946,5031.173074
Bangladesh,164669751,31.5,0.578824028,71.985,10.178706,5.241576537,3341.490722
Democratic Republic of the Congo,81339988,63,0.43546467,59.057,9.75,6.117152596,679.6312234
United States,324459463,15.1,0.919553056,79.222,16.53815,13.21789033,53245.07696
China,1409517397,3.3,0.73768059,75.963,13.53575,7.641839959,13345.47746
Ethiopia,104957438,29.6,0.447750459,64.602,8.35152,2.580780019,1522.954782
Indonesia,263991379,10.9,0.68884703,69.052,12.86766,7.934816941,10053.3377
Egypt,97553151,25.2,0.691391634,71.325,13.0989,7.11,10064.05991
Philippines,104918090,21.6,0.681798894,68.34,11.73302,9.32687,8395.094758
Kenya,49699862,43.4,0.554678518,62.164,11.08,6.314098465,2880.739597
Japan,127484450,16.1,0.90346208,83.684,15.34048,12.464,37267.96407
Russia,143989754,13.3,0.803908285,70.264,14.95315,12.01999,23286.08065
Sudan,40533330,46.5,0.490188348,63.732,7.20526,3.522,3846.370533
Madagascar,25570895,70.7,0.512149003,65.515,10.34614,6.145954825,1319.699397
Italy,59359900,29.9,0.886552111,83.338,16.25827,10.86879343,33572.98249
Turkey,80745020,21.9,0.76699597,75.528,14.59658499,7.88786,18704.52728
Yemen,28250420,54,0.482402156,64.053,8.9895,3,2300.272279
Iran,81162788,18.7,0.774063206,75.581,14.82424,8.77,16395.17737
Syria,18269868,82.5,0.535886844,69.652,8.95343,5.0625,2440.599224
Argentina,44271041,32.2,0.82740051,76.457,17.2605,9.85,20945.12105
Germany,82114224,16.7,0.925668941,81.092,17.09594,13.18762553,44999.64714
Mozambique,29668834,46.1,0.417590161,55.478,9.06883,3.499115605,1098.435768
Myanmar,53370609,25.6,0.555566347,66.118,9.074,4.744,4943.12863
Colombia,49065615,27.8,0.727287287,74.229,13.59537,7.555875831,12762.20529
Tanzania,57310019,22.8,0.530576616,65.512,8.92369,5.78,2466.902694
Afghanistan,35530081,35.8,0.479375006,60.704,10.05375,3.55,1870.827131
Angola,29784193,40.5,0.533464073,52.698,11.39,4.979858432,6290.895886
Zimbabwe,16529904,72.3,0.515640183,59.2,10.31433,7.73428,1587.723183
Ivory Coast,24294750,46.3,0.473679285,51.889,8.9473995,5,3162.738853
VietNam,95540800,11.3,0.683277514,75.939,12.627351,7.988721822,5334.526859
Ukraine,44222947,24.1,0.743049423,71.129,15.30672,11.34,7361.011228
Zambia,17094130,60.5,0.579069986,60.819,12.5123,6.896,3463.712718
Guatemala,16913503,59.3,0.639570415,72.062,10.7211,6.302370007,7063.204406
United Kingdom,66181585,15,0.909490906,80.849,16.3109,13.28412,37930.82701
Spain,46354321,21.1,0.884153255,82.767,17.70032,9.79079,32778.51507
Niger,21477348,45.4,0.35264067,61.936,5.42265,1.658,889.4556458
Algeria,41318142,23,0.744805577,75.027,14.35778,7.785367056,13532.96078
Malawi,18622104,50.7,0.475935463,63.88,10.75378,4.402,1073.290846
South Africa,56717156,16.6,0.666429151,57.658,12.99503,10.33188,12087.21364
France,64979548,14,0.897435892,82.359,16.26508,11.62517418,38085.40033
Iraq,38274618,23,0.64945709,69.626,10.0855,6.583874,11607.72856
Uganda,42862958,19.7,0.492834185,59.209,10.01195,5.654355417,1670.190775
Brazil,209288278,3.7,0.754143634,74.748,15.19532,7.76,14145.13735
Burkina Faso,19193382,40.1,0.401740104,59.007,7.69281,1.441531766,1537.499309
Senegal,15850567,46.7,0.493982965,66.929,9.46770044,2.759835808,2250.133629
Nepal,29304998,25.2,0.558162139,69.989,12.21763,4.067797,2337.069534
Peru,32165485,22.7,0.739748576,74.814,13.38634,9.013469696,11294.84033
Cameroon,24053727,30,0.517547037,55.958,10.415,6.109359903,2894.277577
Burundi,10864245,64.6,0.403765415,57.118,10.64743,2.968889261,691.1825738
Ghana,28833629,24.2,0.578828832,61.531,11.50262,6.94,3838.670257
Chad,14899994,46.7,0.396073224,51.897,7.30026,2.323327738,1990.871405
Poland,38170712,17.6,0.855228789,77.62,16.37393,11.90293,24116.99224
Mali,18541980,36.1,0.442108693,58.474,8.42596,2.333416418,2218.360673
Haiti,10981229,58.5,0.492813352,63.119,9.1,5.179501441,1656.943154
South Korea,50982212,12.5,0.90099213,82.128,16.58752,12.17921107,34540.64927
South Sudan,12575714,50.6,0.41830334,56.134,4.87162,4.84913,1882.498799
Venezuela,31977065,19.7,0.766716417,74.387,14.3,9.39779,15128.64103
Guinea,12717176,47,0.414186306,59.215,8.81527,2.568481492,1058.219876
Morocco,35739580,15,0.647401854,74.31,12.05494,5.037844226,7194.916461
Sierra Leone,7557212,70.2,0.42031226,51.317,9.468868,3.332,1529.176083
Thailand,69037513,7.2,0.739793865,74.616,13.57496,7.91195,14518.64304
Rwanda,12208407,39.1,0.497577295,64.749,10.76172,3.801335247,1616.85733
Uzbekistan,31910641,14,0.700668399,69.4,12.16651,12.048045,5748.226043
Romania,19679306,22.4,0.802381714,74.837,14.73498,10.79977,19427.60925
Togo,7797694,55.1,0.487358896,60.175,11.96578,4.698788565,1262.17409
Bolivia,11051600,38.6,0.674074431,68.743,13.787416,8.19974,6154.887574
Ecuador,16624858,25.6,0.739298832,76.121,14.02404,8.27,10536.15525
Benin,11175692,36.2,0.485096406,59.76,10.686,3.51,1979.250627
Greece,11159773,36,0.865873096,81.071,17.21752,10.53946,24807.53589
Canada,36624199,9.4,0.920284414,82.224,16.325,13.10511486,42581.91433
Dominican Republic,10766998,30.5,0.721686316,73.65,13.16925,7.6789,12756.40123
Papua New Guinea,8251162,37,0.516168319,62.769,9.8997375,4.328,2711.765948
Cambodia,16005373,17.7,0.563082194,68.807,10.90489,4.669575,3095.317595
Tajikistan,8921343,31.5,0.627472084,69.582,11.26186,10.35582,2600.585607
Honduras,9265067,29.6,0.624731633,73.334,11.2375,6.16954,4466.341808
Chile,18054726,14.4,0.846625951,81.956,16.3356,9.8965,21665.45797
Liberia,4731906,54.1,0.426898502,61.188,9.903696,4.442,682.5904279
Eritrea,5068831,50,0.420153487,64.186,4.99466,3.859551,1489.850738
Congo,5260750,46.5,0.592284049,62.892,11.14742,6.313384345,5502.559087
El Salvador,6377853,34.9,0.679776519,73.271,13.16993,6.532387508,7732.025398
Libya,6374616,33,0.71644267,71.763,13.4025,7.31,14303.10953
Portugal,10329506,19,0.842658098,81.183,16.56576,8.88247,26103.62927
Kyrgyzstan,6045117,32.1,0.663631066,70.791,13.00323,10.80226247,3096.796097
Nicaragua,6217581,29.6,0.645202505,75.212,11.67,6.544,4746.699464
United Arab Emirates,9400145,19.5,0.839799159,77.119,13.33,9.5,66203.29979
Israel,8321570,22,0.898885927,82.561,15.99801,12.76185,31214.7148
Tunisia,11532127,15.5,0.724559572,74.982,14.64156,7.089225505,10248.57789
Lebanon,6082357,28.6,0.76284118,79.537,13.28786,8.605452453,13311.57619
Belgium,11429336,15.1,0.895514145,80.984,16.63527,11.38096,41243.31382
Bulgaria,7084571,22,0.793641565,74.322,15.04037,10.79879781,16261.26026
Paraguay,6811297,22.2,0.692965557,73.004,12.31843,8.1351,8181.693782
Laos,6858160,22,0.586044801,66.598,10.82941,5.193853631,5048.558074
Netherlands,17035938,8.8,0.924312171,81.706,18.11654,11.91407,46325.57658
Sweden,9910701,15,0.912706101,82.347,16.05545884,12.2737,46250.79382
Hungary,9721559,14.9,0.836211493,75.313,15.59518,12.02,23394.32423
Hong Kong,7364883,19.6,0.917157319,84.163,15.67329,11.59066599,54264.91478
Sri Lanka,20876917,6.7,0.766438081,75.049,13.96716,10.91508197,10788.90853
Jordan,9702353,14.2,0.741498511,74.175,13.135925,10.098,10111.33377
Mauritania,4420184,31,0.513106014,63.239,8.46379,4.266,3527.264154
Lesotho,2233339,57,0.497367956,50.08,10.74118,6.126,3318.773796
Guinea-Bissau,1861283,67,0.423839923,55.486,9.2,2.917138913,1369.460824
Malaysia,31624264,3.8,0.789449738,74.901,13.07991,10.11094944,24619.6547
Costa Rica,4905769,21.7,0.776452943,79.613,14.16446402,8.70746,14006.35509
Czech Republic,10618303,9.7,0.877841924,78.775,16.81404,12.33225,28143.97758
Gambia,2100568,48.4,0.451574501,60.463,8.94,3.292,1540.829529
Panama,4098587,23,0.78765622,77.755,13.038995,9.854,19470.2025
Armenia,2930450,32,0.742849831,74.886,12.71321785,11.29105,8189.115193
Swaziland,1367254,63,0.541047936,48.943,11.4139,6.839173574,7521.816682
Moldova,4051212,20.8,0.699040531,71.731,11.81358,11.91596,5026.259922
Croatia,4189353,19.5,0.827402943,77.495,15.25955,11.22219652,20291.34365
Serbia,8790574,8.9,0.775733711,75.049,14.36068,10.81862,12202.12775
Denmark,5733551,13.4,0.92464937,80.412,19.1888,12.70017,44518.92402
Namibia,2533794,28.7,0.640006778,65.062,11.657589,6.676,9769.848507
Gabon,2025137,34.3,0.697123999,64.936,12.56472105,8.070282329,19043.58718
Botswana,2291661,30.3,0.697687481,64.508,12.61731,9.233631794,14662.81969
Slovakia,5447662,12.3,0.844947582,76.409,14.96488,12.22690128,26763.61725
Mongolia,3075647,21.6,0.734832003,69.806,14.84552,9.75,10449.20727
Lithuania,2890297,22.2,0.848098563,73.495,16.52306,12.70211,26006.47764
Bosnia and Herzegovina,3507017,17.2,0.749833523,76.634,14.17568,9.0135,10090.77442
Switzerland,8476005,6.6,0.939130869,83.133,16.04041,13.37,56363.9578
Equatorial Guinea,1267689,44,0.592436179,57.909,9.2,5.515573013,21517.21167
Timor-Leste,1296311,41.8,0.605494767,68.514,12.484435,4.424304,5371.162193
Belarus,9468338,5.7,0.795827061,71.464,15.66023,11.97681,15629.44697
Latvia,1949670,25.5,0.829862287,74.342,15.97411,11.73641794,22589.17355
Kazakhstan,18204499,2.7,0.794123063,69.588,14.97189,11.676,22093.08651
Azerbaijan,9827589,4.9,0.758527581,70.896,12.65043,11.16,16413.26033
Jamaica,2890299,16.5,0.730041143,75.82,12.835763,9.638854408,8350.023078
Macedonia,2083160,21.5,0.748094279,75.532,12.8942,9.443739404,12405.21668
Albania,2930187,14.3,0.764173728,77.968,14.17968,9.64681,10252.46983
Suriname,563402,70,0.724957241,71.277,12.70659526,8.306954336,16017.98831
Ireland,4761657,8.2,0.922745767,81.052,18.5792,12.31397813,43797.96814
Comoros,813912,44.8,0.497496166,63.567,11.09573,4.831995356,1335.004475
Georgia,3912061,9.2,0.769396875,75.02,13.90488,12.24651,8855.829885
Austria,8735453,4,0.893405015,81.583,15.91223,11.33397586,43608.82387
Uruguay,3456750,9.7,0.794785893,77.351,15.51185,8.57907,19148.05627
Slovenia,2079976,14.3,0.890302824,80.575,17.3483,12.12194,28664.21147
Fiji,905502,31,0.73640621,70.151,15.3,10.548,8244.755707
Estonia,1309632,21.3,0.86511838,77.012,16.50275,12.54744874,26361.89394
Trinidad and Tobago,1369125,20,0.779912428,70.52,12.747,10.88346335,28049.08642
Guyana,777859,35,0.638016476,66.499,10.34577,8.416544665,6884.453762
Djibouti,956985,23,0.473134229,62.297,6.29223,4.07,3216.176031
Belize,374681,41,0.706194772,70.076,12.76907,10.47,7374.814544
Bhutan,807610,13.3,0.606533532,69.852,12.51544,3.133696413,7081.45304
Mauritius,1265138,8,0.781386251,74.595,15.16978,9.094,17947.96398
Malta,430835,16.3,0.855850775,80.726,14.59462,11.27129,29499.56023
Maldives,436330,16,0.7010269,76.959,12.746,6.196,10382.73306
Montenegro,628960,8.6,0.807224346,76.401,15.13368,11.28716,15409.60512
Turkmenistan,5758075,0.2,0.691490343,65.734,10.80122,9.87817,14025.83138
Australia,24450561,,0.938679536,82.537,20.43272,13.1751,42822.19627
Bahrain,1492584,,0.823884095,76.715,14.5,9.419,37236.36304
Brunei,428697,,0.86493671,79.019,14.94486,9.02,72843.46609
Cuba,11484636,,0.774669359,79.573,13.93739,11.7507808,7455.062477
Cyprus,1179551,,0.855645846,80.332,14.25613,11.69523,29458.52269
Finland,5523231,,0.894517444,81.006,17.04792,11.194,38868.13552
Iceland,335025,,0.921109598,82.724,18.99422,12.19089155,37065.21451
Kuwait,4136528,,0.800182932,74.549,13.26,7.265368804,76075.20735
Luxembourg,583455,,0.898464721,81.881,13.86373,11.95083323,62470.59129
New Zealand,4705818,,0.914900056,82.026,19.2282,12.503,32870.07836
North Korea,25490965,,,,,,
Norway,5305383,,0.949422834,81.711,17.67187,12.74642,67614.35348
Oman,4636262,,0.795778615,76.97,13.74085,8.1,34402.2755
Puerto Rico,3663131,,,,,,
Qatar,2639211,,0.855530727,78.323,13.4061,9.76463,129915.6009
Saudi Arabia,32938213,,0.846601911,74.444,16.11227,9.62752,51320.11323
Singapore,5708844,,0.924865933,83.209,15.4,11.57241,78162.32387
Solomon Islands,611343,,0.514999308,68.107,9.61,5.330584024,1560.858813
Somalia,14742523,,,,,,
Central African Republic,4659080,,0.3524402,51.458,7.09898,4.23,587.4739607
Samoa,196440,,0.702,,,,
Palestine,4920724,,0.677,,,,
Kosovo,1895250,30,0.786,,,,
